NO_OF_FRAMES	6345
NO_OF_CAMERAS	9
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-05, 22:12:12.664	27737.25340530
DATA_INCLUDED	6D
BODY_NAMES	drone	hunter
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		hunter X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
50	0.49000	1021.29447	-15.22774	303.67030	0.50885	0.06992	-0.30341	0.41558	0.99999	-0.00528	-0.00127	0.00530	0.99995	0.00887	0.00122	-0.00888	0.99996		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
51	0.50000	1021.40464	-15.38814	303.74374	0.53593	0.10246	-0.28335	0.42246	0.99999	-0.00493	-0.00183	0.00495	0.99994	0.00934	0.00179	-0.00935	0.99995		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
52	0.51000	1021.54073	-15.52967	303.82636	0.56917	0.11998	-0.27473	0.41989	0.99999	-0.00477	-0.00214	0.00479	0.99994	0.00992	0.00209	-0.00993	0.99995		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
53	0.52000	1021.68871	-15.71593	303.88215	0.60955	0.13491	-0.25852	0.42490	0.99999	-0.00449	-0.00240	0.00451	0.99993	0.01063	0.00235	-0.01064	0.99994		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
54	0.53000	1021.86190	-15.89085	303.93963	0.63073	0.16417	-0.23869	0.44959	0.99999	-0.00413	-0.00291	0.00417	0.99993	0.01100	0.00287	-0.01101	0.99994		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
55	0.54000	1022.00842	-16.08590	304.02620	0.65405	0.20464	-0.22210	0.43510	0.99999	-0.00384	-0.00362	0.00388	0.99993	0.01140	0.00357	-0.01142	0.99993		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
56	0.55000	1022.19161	-16.29869	304.08553	0.68570	0.24005	-0.19017	0.43995	0.99999	-0.00327	-0.00423	0.00332	0.99992	0.01195	0.00419	-0.01197	0.99992		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
57	0.56000	1022.36900	-16.51658	304.14847	0.71815	0.26006	-0.15153	0.44114	0.99999	-0.00259	-0.00457	0.00264	0.99992	0.01252	0.00454	-0.01253	0.99991		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
58	0.57000	1022.54660	-16.79839	304.24989	0.78012	0.27334	-0.11433	0.46183	0.99999	-0.00193	-0.00480	0.00200	0.99991	0.01361	0.00477	-0.01362	0.99990		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
59	0.58000	1022.74655	-17.08306	304.40370	0.82715	0.26931	-0.06815	0.45290	0.99999	-0.00112	-0.00472	0.00119	0.99990	0.01443	0.00470	-0.01444	0.99988		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
